"Participants","Date","Departure_hour","Departure_min","Order","Age","Sex","Laterality","Direction","Hour_1","min_1","Knowledge_distance","Distance","Knowledge_time","Time_hour","Time_min","Max_speed","Hour_2","min_2","Inst_Speed_graphic","Inst_Speed_num","Inst_Speed_conf","Av_speed_graphic","Av_speed_num","Av_speed_confidence","Hour_3","min_3","Time_graphic","Time_hour_num","Time_min_num","Time_conf","Over_or_Underestimation","Hour_4","min_4","Dist_graph","Dist_num","Dist_conf","Hour_5","min_5","Speed_of_time","Homogeneity","Sadness","Hapiness","Boredom","Dist_Strat","Time_Strat","Speed_Strat","creusot","X","departure","order","direction","laterality","rep_knw","knowledge_distance","knwYesNo_dist","knw_dist","knowledge_time","knwYesNo_dur","knw_dur","knwYesNo_spd","knw_spd","rep_spd","spd_inst_allo","spd_inst_ego","spd_inst_conf","spd_inst_meta","spd_mean_allo","spd_mean_ego","spd_mean_conf","spd_mean_meta","rep_dur","dur_allo","dur_ego","dur_conf","dur_meta","rep_dist","dist_allo","dist_ego","dist_conf","dist_meta","rep_debrief","pot","homogeneity_pot","sadness","happiness","boredom","dist_strat","dur_strat","spd_strat","participants","age","sex","obj_dur","obj_dist","obj_spd_inst","obj_spd_mean","away_dur","away_dist","away_spd_inst","away_spd_mean","ep_dur","ep_dist","ep_spd","paris_lyon","travel","tot_dur","tot_dist","tot_speed","spd_inst_tot","spd_mean_tot","dur_tot","dist_tot"
200,"07/07/2021",17,6,6,30,"Man",1,"1",18,52,0,350,1,2,4,363,18,53,NA,90,2,NA,300,2,18,52,157,2,5,3,2,18,53,6,250,3,18,53,3,3,1,3,1,2,2,2,0,"",17.1,6,"Forward","Right-handed",18.8666666666667,"No","No",350,"Yes","Yes",124,NA,363,18.8833333333333,NA,90,2,NA,NA,300,2,NA,18.8666666666667,54.0777777777778,125,3,2,18.8833333333333,338.709677419355,250,3,NA,18.8833333333333,3,3,1,3,1,2,2,2,200,30,"Man",107.416666666667,423.72,104,220.485639686684,1.91846538655227e-12,1.91846538655227e-12,1.91846538655227e-12,1.91846538655227e-12,"dec","dec","dec","LP","./6626_2021-07-07_full_journey.csv",130.766666666667,429.12,320,NA,NA,57.0287962962964,415.277419354839
201,"07/07/2021",17,6,2,35,"Man",1,"1",18,14,1,500,1,2,0,390,18,40,124,300,3,NA,190,3,18,41,330,1,45,3,2,18,44,5.5,450,3,18,42,3,3,1,3,3,NA,NA,NA,0,"",17.1,2,"Forward","Right-handed",18.2333333333333,"Yes","Yes",500,"Yes","Yes",120,NA,390,18.6666666666667,268.666666666667,300,3,NA,NA,190,3,NA,18.6833333333333,110,105,3,2,18.7333333333333,443.548387096774,450,3,NA,18.7,3,3,1,3,3,NA,NA,NA,201,35,"Man",96.6166666666667,401.24,264,227.670826833073,0.20000000000195,0.0166666666658699,0.033333333331953,0.033333333331953,"cst","dec","cst","LP","./6626_2021-07-07_full_journey.csv",130.766666666667,429.12,320,220.444444444444,NA,119.869444444445,380.670967741935
202,"07/07/2021",17,6,4,30,"Woman",1,"1",18,45,0,350,1,2,0,530,18,46,67,140,1,164,280,1,18,45,334,1,45,3,3,18,46,5.6,300,1,18,47,2,4,1,3,3,1,2,2,0,"",17.1,4,"Forward","Right-handed",18.75,"No","No",350,"Yes","Yes",120,NA,530,18.7666666666667,197.277777777778,140,1,NA,482.888888888889,280,1,NA,18.75,111.333333333333,105,3,3,18.7666666666667,316.129032258064,300,1,NA,18.7833333333333,2,4,1,3,3,1,2,2,202,30,"Woman",100.433333333333,406.78,154,227.745738636364,0.0166666666680015,0.0999999999999091,0.0999999999999091,0.0999999999999091,"dec","dec","dec","LP","./6626_2021-07-07_full_journey.csv",130.766666666667,429.12,320,119.111111111111,291.555555555556,121.322407407408,387.592258064516
203,"08/07/2021",11,52,6,56,"Man",1,"1",12,7,1,471,1,1,4,320,12,40,114,190,2,143,250,3,12,8,21,0,12,3,2,12,9,0.5,75,2,12,11,4,1,1,4,1,3,3,3,0,"",11.8666666666667,6,"Forward","Right-handed",12.1166666666667,"Yes","Yes",471,"Yes","Yes",64,NA,320,12.6666666666667,202.666666666667,190,2,NA,254.222222222222,250,3,NA,12.1333333333333,3.73333333333333,12,3,2,12.15,37.9838709677419,75,2,NA,12.1833333333333,4,1,1,4,1,3,3,3,203,56,"Man",14.6166666666667,34.66,280,207.798319327731,0.0833333333359576,0.0666666666660376,0.316666666663998,0.316666666663998,"acc","acc","cst","LP","./6613_2021-07-08_full_journey.csv",130.766666666667,429.12,320,202.666666666667,254.222222222222,7.62805555555557,34.6064516129032
204,"08/07/2021",11,52,2,16,"Man",1,"1",12,14,0,170,0,2,0,320,12,14,165,300,3,121,260,2,12,15,52,0,25,3,2,12,15,0.7,35,2,12,17,3,2,1,4,1,2,2,2,0,"",11.8666666666667,2,"Forward","Right-handed",12.2333333333333,"No","No",170,"No","No",120,NA,320,12.2333333333333,293.333333333333,300,3,NA,215.111111111111,260,2,NA,12.25,17.3333333333333,25,3,2,12.25,19.1935483870968,35,2,NA,12.2833333333333,3,2,1,4,1,2,2,2,204,16,"Man",21.6,61.54,285,150.204878048781,0.100000000002041,0.100000000002041,0.033333333331953,0.033333333331953,"cst","cst","cst","LP","./6613_2021-07-08_full_journey.csv",130.766666666667,429.12,320,293.333333333333,215.111111111111,18.8885185185186,48.4490322580645
205,"08/07/2021",11,52,5,26,"Man",1,"1",13,48,0,800,0,5,0,300,13,49,88,100,2,110,200,3,13,50,338,2,0,3,3,13,48,5.5,400,3,13,51,3,3,1,3,1,5,3,2,0,"",11.8666666666667,5,"Forward","Right-handed",13.8,"No","No",800,"No","No",300,NA,300,13.8166666666667,146.666666666667,100,2,NA,183.333333333333,200,3,NA,13.8333333333333,281.666666666667,120,3,3,13.8,709.677419354839,400,3,NA,13.85,3,3,1,3,1,5,3,2,205,26,"Man",116.7,421.11,85,203.78905359179,2.02504679691629e-12,0,2.02504679691629e-12,2.02504679691629e-12,"dec","dec","dec","LP","./6613_2021-07-08_full_journey.csv",130.766666666667,429.12,320,156.444444444444,195.555555555556,122.775370370371,380.670967741935
206,"08/07/2021",11,52,4,49,"Woman",1,"1",11,52,0,400,0,2,0,250,13,41,143,200,2,NA,220,2,13,40,290,1,45,3,3,13,42,4.6,320,3,13,42,4,2,1,3,1,3,3,3,0,"",11.8666666666667,4,"Forward","Right-handed",11.8666666666667,"No","No",400,"No","No",120,NA,250,13.6833333333333,198.611111111111,200,2,NA,NA,220,2,NA,13.6666666666667,96.6666666666667,105,3,3,13.7,296.774193548387,320,3,NA,13.7,4,2,1,3,1,3,3,3,206,49,"Woman",106.7,406.96,287,211.609788359788,2.02504679691629e-12,0.0166666666680015,0.033333333333978,0.033333333333978,"cst","dec","dec","LP","./6613_2021-07-08_full_journey.csv",130.766666666667,429.12,320,254.222222222222,NA,105.339814814815,318.37935483871
207,"08/07/2021",17,4,1,26,"Man",1,"2",17,15,1,352,1,2,0,300,17,16,113,220,3,115,250,3,17,17,308,0,20,3,3,17,18,0.85,35,3,17,18,3,1,1,3,3,5,5,5,0,"",17.0666666666667,1,"Backward","Right-handed",17.25,"Yes","Yes",352,"Yes","Yes",120,NA,300,17.2666666666667,188.333333333333,220,3,NA,191.666666666667,250,3,NA,17.2833333333333,102.666666666667,20,3,3,17.3,48.258064516129,35,3,NA,17.3,3,1,1,3,3,5,5,5,207,26,"Man",12.45,18.35,150,69.2321428571429,0.0166666666658699,0.0166666666680015,0.0166666666658699,0.0166666666658699,"acc","acc","acc","LP","./6626_2021-07-08_full_journey.csv",130.766666666667,429.12,320,200.888888888889,204.444444444444,111.878148148148,58.8309677419355
208,"08/07/2021",11,52,3,41,"Woman",2,"1",12,13,1,500,1,2,0,300,12,17,180,300,3,128,250,3,12,15,43,0,20,3,2,12,14,0.8,70,3,12,19,3,1,1,4,1,3,2,5,0,"",11.8666666666667,3,"Forward","Left-handed",12.2166666666667,"Yes","Yes",500,"Yes","Yes",120,NA,300,12.2833333333333,300,300,3,NA,213.333333333333,250,3,NA,12.25,14.3333333333333,20,3,2,12.2333333333333,64.5161290322581,70,3,NA,12.3166666666667,3,1,1,4,1,3,2,5,208,41,"Woman",21.6,57.23,285,161.062780269058,0.100000000002041,0.033333333331953,0.18333333333203,0.18333333333203,"cst","cst","cst","LP","./6613_2021-07-08_full_journey.csv",130.766666666667,429.12,320,320,227.555555555556,15.6193518518519,55.3703225806452
209,"08/07/2021",11,52,4,72,"Man",1,"1",12,13,1,510,1,2,20,305,12,22,148,260,3,139,250,3,12,16,73,0,25,4,3,12,24,2.1,150,3,12,26,3,3,1,3,1,4,3,3,0,"",11.8666666666667,4,"Forward","Right-handed",12.2166666666667,"Yes","Yes",510,"Yes","Yes",140,NA,305,12.3666666666667,250.777777777778,260,3,NA,235.527777777778,250,3,NA,12.2666666666667,28.3888888888889,25,4,3,12.4,172.741935483871,150,3,NA,12.4333333333333,3,3,1,3,1,4,3,3,209,72,"Man",22.6666666666667,105.98,298,172.561475409836,0.0333333333340846,0.0166666666680015,0.100000000000016,0.100000000000016,"cst","cst","cst","LP","./6613_2021-07-08_full_journey.csv",130.766666666667,429.12,320,263.111111111111,247.111111111111,26.5165740740741,145.347096774194
