"participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur"
156,26,"Man","Right-handed","6","Forward","Yes",124,106.792777777778,"3","3",1.30208629682314,0.30208629682314,82.0166666666668,"cst","2","3","1","2","2","5","graphic (obj)","dur",NA,124
157,67,"Man","Left-handed","4","Forward","No",120,90.0837037037039,"2","3",1.01028452751818,0.0102845275181757,89.1666666666666,"cst","2","3","1","1","2","2","graphic (obj)","dur",NA,124
159,40,"Man","Right-handed","6","Backward","Yes",122,122.775370370371,"3","2",1.11597064417849,0.115970644178491,110.016666666667,"dec","3","4","1","3","1","4","graphic (obj)","dur",NA,124
160,20,"Man","Left-handed","3","Backward","Yes",124,116.963518518519,"3","3",1.04509472987507,0.0450947298750719,111.916666666667,"dec","2","3","2","2","3","5","graphic (obj)","dur",NA,124
161,61,"Woman","Right-handed","6","Forward","No",210,5.81185185185187,"4","2",0.479657649396301,-0.520342350603699,12.1166666666667,"acc","2","1","1","3","1","2","graphic (obj)","dur",NA,116
162,26,"Woman","Right-handed","1","Forward","Yes",176,8.35453703703706,"4","3",0.64348167165882,-0.35651832834118,12.9833333333334,"acc","4","2","1","3","1","3","graphic (obj)","dur",NA,116
163,24,"Woman","Left-handed","1","Backward","Yes",116,18.5252777777778,"3","3",0.892067950775817,-0.107932049224183,20.7666666666667,"cst","3","2","1","3","1","2","graphic (obj)","dur",NA,116
164,49,"Woman","Right-handed","2","Backward","No",115,51.2169444444446,"3","3",1.66559168925022,0.665591689250225,30.7500000000001,"cst","3","2","1","2","1","2","graphic (obj)","dur",NA,116
165,29,"Man","Right-handed","2","Backward","Yes",116,58.1185185185187,"2","3",1.49277016742771,0.492770167427707,38.9333333333333,"cst","3","3","3","3","1","4","graphic (obj)","dur",NA,116
166,25,"Woman","Right-handed","6","Forward","Yes",110,72.2849074074076,"1","3",1.52285619538078,0.522856195380777,47.4666666666667,"cst","2","2","1","2","3","4","graphic (obj)","dur",NA,116
167,70,"Woman","Right-handed","5","Backward","Yes",120,64.2936111111113,"4","2",1.17502792161641,0.175027921616412,54.7166666666666,"cst","3","3","1","2","1","2","graphic (obj)","dur",NA,116
168,26,"Man","Right-handed","2","Backward","No",122,66.4730555555557,"3","2",0.842141751126129,-0.157858248873871,78.9333333333333,"cst","3","1","3","2","4","2","graphic (obj)","dur",NA,116
169,29,"Man","Right-handed","2","Forward","Yes",114,77.7335185185187,"3","3",1.12657273215245,0.126572732152445,69,"cst","2","1","2","3","3","3","graphic (obj)","dur",NA,116
170,39,"Man","Right-handed","4","Backward","Yes",120,82.4556481481484,"3","2",1.08804462038463,0.0880446203846265,75.7833333333334,"cst","2","1","1","2","2","2","graphic (obj)","dur",NA,116
171,22,"Woman","Right-handed","4","Backward","No",126,108.245740740741,"3","2",1.26455304603669,0.264553046036693,85.6000000000001,"cst","3","2","1","3","2","2","graphic (obj)","dur",NA,116
172,40,"Woman","Right-handed","5","Backward","Yes",120,96.2587962962965,"3","3",1.12451864832122,0.12451864832122,85.6000000000001,"cst","2","4","1","4","3","2","graphic (obj)","dur",NA,116
173,60,"Woman","Right-handed","4","Forward","No",120,99.1647222222225,"4","3",1.06877731872343,0.0687773187234316,92.7833333333334,"cst","3","1","3","2","1","6","graphic (obj)","dur",NA,116
174,42,"Woman","Right-handed","1","Forward","Yes",120,123.501851851852,"3","3",1.11079465014408,0.110794650144079,111.183333333333,"dec",NA,"1","1","2","2","2","graphic (obj)","dur",NA,116
175,29,"Woman","Right-handed","3","Forward","Yes",110,95.5323148148151,"2","3",0.920202101282531,-0.0797978987174692,103.816666666667,"cst","3","3","1","2","3","4","graphic (obj)","dur",NA,116
177,47,"Woman","Right-handed","2","Backward","Yes",124,84.9983333333335,"3","3",0.926412352406904,-0.0735876475930958,91.7500000000001,"cst","3","3","2","3","2","4","graphic (obj)","dur",NA,124
178,40,"Woman","Right-handed","6","Backward","Yes",124,104.976574074074,"4","3",1.06162050302452,0.0616205030245175,98.8833333333333,"cst","3","2","1","2","2","3","graphic (obj)","dur",NA,124
179,54,"Man","Right-handed","1","Forward","Yes",120,5.81185185185187,"3","2",0.557937777777783,-0.442062222222217,10.4166666666666,"acc","3","3","2","3","2","4","graphic (obj)","dur",NA,116
182,NA,"Man",NA,"3","Forward","Yes",124,55.9390740740742,"2","3",0.941999563414105,-0.0580004365858954,59.3833333333333,"cst","4","1","1","3","1","2","graphic (obj)","dur",NA,124
187,45,"Man","Right-handed","1","Forward","Yes",120,121.685648148148,"3","3",1.1131481763819,0.1131481763819,109.316666666667,"dec","3","2","2","2","3","2","graphic (obj)","dur",NA,124
188,38,"Man","Right-handed","6","Forward","Yes",116,8.7177777777778,"3","2",0.56670278078729,-0.43329721921271,15.3833333333333,"acc","3","2","1","3","3","2","graphic (obj)","dur",NA,116
189,38,"Woman","Right-handed","2","Backward","Yes",128,19.2517592592593,"2","2",0.822139185448802,-0.177860814551198,23.4166666666665,"cst","3","2","1","2","2","2","graphic (obj)","dur",NA,116
191,50,"Man","Right-handed","6","Forward","Yes",124,33.0549074074075,"3","2",0.725153361771278,-0.274846638228722,45.5833333333334,"cst","3","2","1","3","1","2","graphic (obj)","dur",NA,124
192,21,"Man","Right-handed","2","Forward","No",120,78.8232407407409,"3","3",1.43011625172194,0.430116251721939,55.1166666666667,"cst","3","3","1","2","1","5","graphic (obj)","dur",NA,124
194,63,"Man","Left-handed","3","Forward","Yes",124,66.8362962962965,"3","3",0.925924215603275,-0.074075784396725,72.1833333333334,"cst","2","2","2","2","2","3","graphic (obj)","dur",NA,124
197,23,"Woman","Right-handed","2","Forward","Yes",116,71.5584259259261,"2","2",0.766013480027756,-0.233986519972244,93.4166666666666,"cst","3","2","1","2","1","2","graphic (obj)","dur",NA,116
198,26,"Woman","Right-handed","1","Backward","Yes",122,12.713425925926,"3","3",1.2204888888889,0.2204888888889,10.4166666666666,"acc","3","1","1","3","1","2","graphic (obj)","dur",NA,116
199,42,"Man","Left-handed","5","Backward","Yes",116,24.7003703703704,"3","2",1.10187525815779,0.101875258157792,22.4166666666666,"cst","3","2","1","3","1","2","graphic (obj)","dur",NA,116
200,30,"Man","Right-handed","6","Forward","Yes",124,57.0287962962964,"3","2",0.53091199034566,-0.46908800965434,107.416666666667,"dec","3","3","1","3","1","2","graphic (obj)","dur",NA,116
201,35,"Man","Right-handed","2","Forward","Yes",120,119.869444444445,"3","2",1.24067046173308,0.240670461733083,96.6166666666667,"cst","3","3","1","3","3","6","graphic (obj)","dur",NA,116
202,30,"Woman","Right-handed","4","Forward","Yes",120,121.322407407408,"3","3",1.2079894531106,0.207989453110602,100.433333333333,"dec","2","4","1","3","3","2","graphic (obj)","dur",NA,116
206,49,"Woman","Right-handed","4","Forward","No",120,105.339814814815,"3","3",0.987252247561528,-0.0127477524384716,106.7,"cst","4","2","1","3","1","3","graphic (obj)","dur",NA,124
207,26,"Man","Right-handed","1","Backward","Yes",120,111.878148148148,"3","3",8.9861966384055,7.9861966384055,12.45,"acc","3","1","1","3","3","5","graphic (obj)","dur",NA,116
208,41,"Woman","Left-handed","3","Forward","Yes",120,15.6193518518519,"3","2",0.723118141289439,-0.276881858710561,21.6,"cst","3","1","1","4","1","2","graphic (obj)","dur",NA,124
209,72,"Man","Right-handed","4","Forward","Yes",140,26.5165740740741,"4","3",1.16984885620915,0.169848856209151,22.6666666666667,"cst","3","3","1","3","1","3","graphic (obj)","dur",NA,124
210,58,"Man","Right-handed","4","Backward","Yes",120,85.724814814815,"3","3",0.818245130271856,-0.181754869728144,104.766666666667,"cst","3","3","2","3","2","5","graphic (obj)","dur",NA,124
211,69,"Woman","Right-handed","6","Backward","Yes",120,121.685648148148,"3","2",1.08777397033505,0.0877739703350545,111.866666666667,"dec",NA,"1","2","3","1","2","graphic (obj)","dur",NA,124
212,55,"Woman","Right-handed","5","Forward","Yes",120,34.1446296296297,"2","3",1.65215949820789,0.652159498207887,20.6666666666667,"cst","3","2","2","2","1","2","graphic (obj)","dur",NA,124
213,50,"Man","Right-handed","5","Forward","Yes",120,92.9896296296299,"3","3",0.863146314631468,-0.136853685368532,107.733333333333,"dec","3","3","1","3","1","4","graphic (obj)","dur",NA,124
214,31,"Woman","Right-handed","4","Backward","Yes",139,99.5279629629632,"3","3",0.889701695139716,-0.110298304860284,111.866666666667,"dec","3","2","1","3","1","2","graphic (obj)","dur",NA,124
215,27,"Man","Right-handed","3","Backward","No",135,129.676944444445,"3","1",1.09247636431714,0.0924763643171422,118.7,"dec","4",NA,"1","4","1","5","graphic (obj)","dur",NA,124
216,24,"Woman","Left-handed","6","Backward","Yes",120,6.90157407407409,"3","2",0.730325298843825,-0.269674701156175,9.44999999999993,"acc","4","1","1","4","1","4","graphic (obj)","dur",NA,116
217,37,"Woman","Right-handed","1","Backward","Yes",120,12.713425925926,"3","2",0.82465465465465,-0.17534534534535,15.4166666666668,"acc","4","1","1","1","1","2","graphic (obj)","dur",NA,116
218,21,"Man","Right-handed","5","Forward","No",120,79.1864814814817,"3","2",0.81300288995361,-0.18699711004639,97.4000000000001,"dec","3","1","1","2","2","2","graphic (obj)","dur",NA,116
219,26,"Woman","Right-handed","2","Backward","Yes",112,124.228333333334,"4","4",1.1671938615722,0.167193861572196,106.433333333333,"dec","3","4","2","2","1","2","graphic (obj)","dur",NA,116
220,22,"Woman","Right-handed","3","Forward","Yes",116,9.08101851851854,"3","3",0.868996987418034,-0.131003012581966,10.4500000000001,"acc","4","3","3","2","2","2","graphic (obj)","dur",NA,116
221,34,"Woman","Right-handed","4","Forward","Yes",115,18.5252777777778,"2","1",0.908101851851854,-0.0918981481481458,20.4,"cst","4","3","2","2","4","3","graphic (obj)","dur",NA,116
222,27,"Man","Right-handed","1","Forward","No",105,10.8972222222222,"3","3",0.486483134920634,-0.513516865079366,22.4000000000001,"cst","3","2","1","3","2","2","graphic (obj)","dur",NA,116
223,37,"Man","Right-handed","2","Backward","Yes",116,122.775370370371,"4","2",1.16338000982664,0.163380009826637,105.533333333333,"dec","3","3","2","3","1","4","graphic (obj)","dur",NA,116
224,26,"Woman","Right-handed","2","Backward","Yes",122,104.250092592593,"3","3",1.07032949273709,0.0703294927370919,97.4000000000001,"dec","3","3","3","2","1","5","graphic (obj)","dur",NA,116
225,37,"Woman","Left-handed","5","Forward","Yes",120,32.328425925926,"3","2",1.38847928099897,0.388479280998966,23.2833333333334,"cst","3","2","2","3","2","1","graphic (obj)","dur",NA,116
226,21,"Man","Right-handed","1","Backward","Yes",120,76.6437962962965,"3","2",0.904529460617188,-0.0954705393828117,84.7333333333334,"cst","4","1","1","3","1","2","graphic (obj)","dur",NA,116
227,33,"Woman","Left-handed","6","Backward","Yes",130,104.613333333334,"3","2",1.07405886379192,0.0740588637919249,97.4000000000001,"dec","3","3","1","3","2","5","graphic (obj)","dur",NA,116
229,46,"Man","Right-handed","3","Forward","Yes",116,9.44425925925928,"2","3",0.678629407850965,-0.321370592149035,13.9166666666667,"acc","3","2","1","3","1","5","graphic (obj)","dur",NA,116
231,35,"Woman","Right-handed","6","Forward","No",120,28.3327777777778,"3","2",0.88632255822037,-0.11367744177963,31.9666666666667,"cst","2","3","1","2","1","4","graphic (obj)","dur",NA,116
232,22,"Man","Left-handed","2","Backward","Yes",117,47.2212962962964,"3","2",1.0736179529283,0.0736179529283013,43.9833333333333,"cst","3","1","1","2","1","2","graphic (obj)","dur",NA,116
233,36,"Man","Left-handed","5","Backward","No",115,65.3833333333335,"4","3",1.12989631336406,0.129896313364057,57.8666666666667,"cst","2","3","1","3","1","4","graphic (obj)","dur",NA,116
234,35,"Woman","Right-handed","3","Backward","No",120,65.7465740740742,"3","3",0.971145850429457,-0.0288541495705431,67.7,"cst","3","3","3","3","1","1","graphic (obj)","dur",NA,116
235,24,"Woman","Left-handed","1","Backward","Yes",129,84.9983333333335,"3","3",1.08902412983131,0.0890241298313075,78.05,"cst","3","3","1","3","2","2","graphic (obj)","dur",NA,116
236,30,"Man","Right-handed","3","Backward","Yes",117,55.5758333333335,"3","2",0.647485436893206,-0.352514563106794,85.8333333333333,"cst","2","1","2","3","1","2","graphic (obj)","dur",NA,116
238,40,"Man","Left-handed","4","Forward","Yes",120,83.5453703703706,"3","2",0.788908124366105,-0.211091875633895,105.9,"dec","3","3","1","4","1","4","graphic (obj)","dur",NA,116
239,22,"Man","Left-handed","5","Forward","Yes",120,28.3327777777778,"3","3",1.63144593730007,0.631445937300065,17.3666666666667,"cst","3","1","1","3","2","2","graphic (obj)","dur",NA,124
240,51,"Woman","Right-handed","6","Backward","Yes",124,50.1272222222224,"1","1",1.97351268591426,0.973512685914258,25.4000000000001,"cst","3","3",NA,"4","1","2","graphic (obj)","dur",NA,124
241,29,"Man","Left-handed","4","Backward","Yes",120,13.0766666666667,"3","3",0.392496248124063,-0.607503751875937,33.3166666666667,"cst","1","2","1","3","4","2","graphic (obj)","dur",NA,124
242,24,"Man","Right-handed","1","Forward","No",120,65.3833333333335,"3","3",1.15927895981088,0.159278959810876,56.4000000000001,"cst","3","1","1","3","2","5","graphic (obj)","dur",NA,124
244,18,"Woman","Right-handed","2","Backward","Yes",124,54.4861111111112,"2","3",0.714415792540794,-0.285584207459206,76.2666666666667,"cst","3","2","1","3","3","4","graphic (obj)","dur",NA,124
245,18,"Man","Right-handed","1","Backward","No",120,82.0924074074076,"3","2",1.10388714577419,0.103887145774194,74.3666666666667,"cst","2","3","2","2","3","2","graphic (obj)","dur",NA,124
246,18,"Man","Right-handed","5","Forward","No",132,41.7726851851853,"3","3",0.457699253307362,-0.542300746692638,91.2666666666667,"cst","2","1","1","3","1","2","graphic (obj)","dur",NA,124
248,26,"Woman","Right-handed","2","Forward","Yes",118,123.501851851852,"3","3",1.05257260101011,0.0525726010101065,117.333333333333,"dec","4","1","1","3","1","5","graphic (obj)","dur",NA,124
249,21,"Woman","Right-handed","1","Backward","Yes",136,29.7857407407408,"2","3",0.883412973032352,-0.116587026967648,33.7166666666667,"cst","2","1","2","2","3","2","graphic (obj)","dur",NA,116
250,33,"Man","Right-handed","4","Forward","Yes",120,57.3920370370372,"3","3",1.30783221504832,0.307832215048323,43.8833333333333,"cst","2","3","1","4","2","4","graphic (obj)","dur",NA,116
251,21,"Man","Right-handed","6","Backward","No",130,0.726481481481483,"3","2",0.0135075577591847,-0.986492442240815,53.7833333333333,"cst","3","3","3","2","3","5","graphic (obj)","dur",NA,116
252,22,"Woman","Right-handed","5","Forward","Yes",119,77.0070370370372,"2","2",1.18899182249671,0.188991822496714,64.7666666666667,"cst","3","2","2","3","2","2","graphic (obj)","dur",NA,116
253,24,"Man","Left-handed","3","Backward","Yes",119,6.90157407407409,"3","3",0.890525686977303,-0.109474313022697,7.74999999999999,"acc","2","2","1","3","1","1","graphic (obj)","dur",NA,116
256,19,"Woman","Right-handed","5","Backward","Yes",119,20.3414814814815,"4","3",0.762805555555559,-0.237194444444441,26.6666666666666,"cst","3","2","1","4","1","4","graphic (obj)","dur",NA,116
257,19,"Man","Left-handed","3","Forward","Yes",120,26.1533333333334,"2","2",0.534650766609883,-0.465349233390117,48.9166666666666,"cst","2","2","3","3","2","6","graphic (obj)","dur",NA,116
258,19,"Woman","Right-handed","4","Backward","No",180,81.7291666666669,"3","3",1.64114792503347,0.641147925033471,49.8,"cst","2","4","2","3","2","6","graphic (obj)","dur",NA,116
259,36,"Man","Right-handed","6","Forward","No",119,60.2979629629631,"3","3",0.977276547211721,-0.0227234527882785,61.6999999999999,"cst","3","2","1","3","2","2","graphic (obj)","dur",NA,116
260,55,"Man","Right-handed","1","Backward","Yes",120,78.4600000000002,"3","2",1.10532988964546,0.10532988964546,70.9833333333333,"cst","3","2","2","3","1","2","graphic (obj)","dur",NA,116
261,30,"Woman","Right-handed","2","Forward","No",120,85.3615740740743,"3","2",1.18530304199131,0.185303041991313,72.0166666666666,"cst","2","2","2","3","3","4","graphic (obj)","dur",NA,116
262,23,"Woman","Right-handed","4","Forward","Yes",120,77.0070370370372,"4","3",0.941982104428591,-0.0580178955714088,81.7499999999999,"cst","3","3","1","3","1","2","graphic (obj)","dur",NA,116
263,26,"Woman","Right-handed","6","Backward","Yes",117,116.600277777778,"3","2",1.09125201476629,0.09125201476629,106.85,"dec","3","3","1","3","2","5","graphic (obj)","dur",NA,116
264,22,"Woman","Right-handed","5","Forward","Yes",125,12.713425925926,"3","3",1.04925110805442,0.0492511080544177,12.1166666666666,"acc","3","1","2","3","1","2","graphic (obj)","dur",NA,124
265,40,"Woman","Right-handed","3","Forward","No",130,127.13425925926,"3","2",1.17898849390349,0.178988493903493,107.833333333333,"dec","4","4","1","4","1","1","graphic (obj)","dur",NA,116
266,27,"Man","Right-handed","3","Backward","Yes",124,20.3414814814815,"3","3",1.00369152046784,0.00369152046784205,20.2666666666666,"cst","3","1","1","4","1","2","graphic (obj)","dur",NA,124
267,56,"Woman","Right-handed","2","Forward","Yes",140,30.1489814814816,"3","2",1.48761421783627,0.487614217836266,20.2666666666666,"cst","3","3",NA,NA,"3","1","graphic (obj)","dur",NA,124
268,30,"Woman","Left-handed","4","Forward","Yes",123,110.425185185185,"3","3",1.26682812831953,0.26682812831953,87.1666666666665,"cst","3","1","1","3","1","5","graphic (obj)","dur",NA,124
269,27,"Woman","Left-handed","1","Forward","Yes",126,82.0924074074076,"3","3",0.927597823812514,-0.0724021761874857,88.5000000000001,"cst","2","1","1","4","3","5","graphic (obj)","dur",NA,124
270,66,"Man","Right-handed","6","Backward","Yes",120,123.138611111111,"3","2",1.18725962826075,0.187259628260752,103.716666666667,"cst",NA,"1","3","3","3","2","graphic (obj)","dur",NA,124
271,46,"Man","Left-handed","5","Forward","Yes",125,17.4355555555556,"3","2",0.860307017543865,-0.139692982456135,20.2666666666666,"cst","2","2","1","3","1","2","graphic (obj)","dur",NA,124
272,56,"Woman","Right-handed","2","Forward","Yes",120,12.3501851851852,"3","2",1.10763992692245,0.107639926922451,11.1499999999999,"acc","4",NA,"2","2","1","5","graphic (obj)","dur",NA,124
273,49,"Woman","Left-handed","4","Backward","Yes",122,42.4991666666668,"3","3",0.65316342213115,-0.34683657786885,65.0666666666666,"cst","3","2","1","3","2","5","graphic (obj)","dur",NA,124
274,24,"Woman","Right-handed","6","Forward","Yes",118,79.5497222222224,"3","2",1.06113457833111,0.0611345783311137,74.9666666666666,"cst","2","3","2","2","3","2","graphic (obj)","dur",NA,124
276,21,"Man","Left-handed","1","Backward","Yes",126,107.156018518519,"3","2",1.13894793819506,0.138947938195061,94.0833333333334,"cst","3","1","1","3","3","4","graphic (obj)","dur",NA,124
278,35,"Man","Right-handed","6","Backward","Yes",120,6.53833333333335,"3","3",0.65166112956811,-0.34833887043189,10.0333333333333,"acc","2","2","1","3","1","5","graphic (obj)","dur",NA,124
279,21,"Man","Right-handed","5","Forward","No",210,10.5339814814815,"2","3",0.499240828506233,-0.500759171493767,21.1,"cst","3","2","1","3","1","2","graphic (obj)","dur",NA,124
280,32,"Man","Right-handed","1","Forward","No",120,64.2936111111113,"3","2",0.866880149812737,-0.133119850187263,74.1666666666666,"cst","3","1","1","1","1","5","graphic (obj)","dur",NA,124
281,60,"Man","Right-handed","2","Forward","Yes",126,84.2718518518521,"3","2",1.01328879982187,0.0132887998218693,83.1666666666666,"cst","3","3","1","3","1","2","graphic (obj)","dur",NA,124
282,39,"Man","Right-handed","3","Forward","No",180,110.788425925926,"3","2",1.24434772661093,0.244347726610927,89.0333333333333,"cst","3","2","1","3","2","5","graphic (obj)","dur",NA,124
283,66,"Man","Right-handed","4","Forward","Yes",120,74.8275925925928,"4","3",0.788627359135002,-0.211372640864998,94.8833333333333,"cst","3","3","1","3","1","2","graphic (obj)","dur",NA,124
284,50,"Man","Right-handed","4","Forward","Yes",120,114.057592592593,"4","4",1.12835211138592,0.128352111385918,101.083333333333,"cst","3","2","2","3","2","5","graphic (obj)","dur",NA,124
285,24,"Woman","Right-handed","6","Backward","Yes",120,95.5323148148151,"3","2",0.94508473023725,-0.0549152697627499,101.083333333333,"cst","3","3","1","3","1","5","graphic (obj)","dur",NA,124
1,NA,NA,NA,"1","Backward","No",600,250,"2",NA,1.60523950173366,0.605239501733659,155.74,"cst","2","3","1","4","1","1","numeric","dist",NA,124
3,NA,NA,NA,"4","Forward","No",500,100,"3",NA,13.1578947368421,12.1578947368421,7.6,"acc","3","3","1",NA,"1","6","numeric","dist",NA,116
4,NA,NA,NA,"6","Backward","Yes",490,30,"3",NA,3.94736842105263,2.94736842105263,7.6,"acc","2","3","1","3","2","2","numeric","dist",NA,116
5,NA,NA,NA,"5",NA,"No",500,30,"2",NA,1.82592818015825,0.825928180158247,16.43,"acc","4","1","1","3","1","2","numeric","dist",NA,116
6,NA,NA,NA,"3",NA,"No",500,460,"3",NA,1.07539450613676,0.0753945061367621,427.75,"dec","4","3","1","4","1","6","numeric","dist",NA,116
7,NA,NA,NA,"1","Forward","No",490,200,"2",NA,0.863893568312384,-0.136106431687616,231.51,"cst","3","1","1","3","1","2","numeric","dist",NA,116
8,NA,NA,NA,"2","Forward","No",400,30,"3",NA,0.547145723144264,-0.452854276855736,54.83,"cst","2","3","2","3","3","5","numeric","dist",NA,116
9,NA,NA,NA,"4","Forward","No",400,200,"2",NA,1.60771704180064,0.607717041800643,124.4,"cst","3","2","1","4","1","1","numeric","dist",NA,116
10,NA,NA,NA,"6","Forward","No",1000,500,"2",NA,2.15973392078096,1.15973392078096,231.51,"cst","3","1","1","3","1","1","numeric","dist",NA,116
11,NA,NA,NA,"1","Backward","No",300,100,"2",NA,0.808930593755056,-0.191069406244944,123.62,"cst","2","2","2","2","2","1","numeric","dist",NA,116
12,NA,NA,NA,"3","Forward","Yes",280,100,"3",NA,0.659848234905972,-0.340151765094028,151.55,"cst",NA,NA,NA,NA,NA,"6","numeric","dist",NA,116
13,NA,NA,NA,"2","Forward","Yes",300,70,"3",NA,0.464067886502254,-0.535932113497746,150.84,"cst","2","2","2","3","2","2","numeric","dist",NA,116
14,NA,NA,NA,"4","Backward","Yes",425,220,"3",NA,1.421647819063,0.421647819063005,154.75,"cst","3","3","1","2","1","3","numeric","dist",NA,116
15,NA,NA,NA,"6","Backward","Yes",200,100,"2",NA,0.373036893348752,-0.626963106651248,268.07,"cst","2","2","2","2","1","3","numeric","dist",NA,116
17,NA,NA,NA,"3","Forward","No",480,10,"4",NA,2.37529691211401,1.37529691211401,4.21,"acc","4","1","1","2","2","2","numeric","dist",NA,124
18,NA,NA,NA,"1","Backward","No",260,80,"2",NA,0.356696985910469,-0.643303014089531,224.28,"cst","3","3","1","3","1","6","numeric","dist",NA,116
19,NA,NA,NA,"1","Forward","No",375,200,"2",NA,0.91533180778032,-0.0846681922196796,218.5,"cst","3","3","2","3","2","6","numeric","dist",NA,116
20,NA,NA,NA,"3","Backward","No",400,200,"1",NA,0.673763643713785,-0.326236356286215,296.84,"cst","3","2","1","3","1","5","numeric","dist",NA,116
21,NA,"Man",NA,"3","Forward","No",450,380,"3",NA,0.922061535475104,-0.0779384645248957,412.12,"dec","3","2","1","2","1","2","numeric","dist",NA,124
22,NA,NA,NA,"5","Forward","No",590,350,"3",NA,1.93306086380205,0.933060863802055,181.06,"cst","3","2","1","3","2","6","numeric","dist",NA,116
23,NA,NA,NA,"1","Backward","No",250,380,"3",NA,1.49318244331801,0.493182443318009,254.49,"cst","4","2","1","4","2","3","numeric","dist",NA,116
24,NA,NA,NA,"1","Backward","No",600,250,"2",NA,0.982356870603953,-0.017643129396047,254.49,"cst","3","3","1","3","2","3","numeric","dist",NA,116
25,NA,NA,NA,"6","Forward","No",400,NA,"2",NA,NA,NA,314.85,"cst","4",NA,"1",NA,"1","1","numeric","dist",NA,116
27,NA,NA,NA,"3","Forward","No",400,300,"2",NA,0.763339355232691,-0.236660644767309,393.01,"dec","4","3","1","3","1","2","numeric","dist",NA,116
28,NA,"Woman",NA,"3","Backward","No",400,300,"1",NA,0.967336278334892,-0.0326637216651082,310.13,"cst","1","1","1","2","4","1","numeric","dist",NA,116
29,NA,NA,NA,"6","Forward","No",500,200,"1",NA,2.12089077412513,1.12089077412513,94.3,"cst","2","3","1","1","3","1","numeric","dist",NA,124
30,NA,NA,NA,"5","Forward","No",450,120,"2",NA,1.38600138600139,0.386001386001386,86.58,"cst","3","2","1","4","3","3","numeric","dist",NA,116
31,NA,NA,NA,"5","Forward","No",750,300,"1",NA,3.28083989501312,2.28083989501312,91.44,"cst","3","1","1","4","1","1","numeric","dist",NA,116
32,NA,NA,NA,"2","Backward","No",350,190,"3",NA,0.79454689917618,-0.20545310082382,239.13,"cst","2","1","1","3","2","5","numeric","dist",NA,116
33,NA,NA,NA,"6","Backward","No",500,300,"3",NA,1.01843364904776,0.0184336490477646,294.57,"cst","3","2","1","3","1","3","numeric","dist",NA,116
34,NA,NA,NA,"6","Forward","No",450,200,"2",NA,0.599664188054689,-0.400335811945311,333.52,"cst","2","2","1","3","1","1","numeric","dist",NA,116
35,NA,NA,NA,"2","Forward","No",400,350,"1",NA,1.52266597059079,0.522665970590794,229.86,"cst","3","2","1","3","1","6","numeric","dist",NA,116
36,NA,NA,NA,"4","Forward","No",550,380,"2",NA,1.06077101303632,0.0607710130363174,358.23,"cst","2","2","1","3","3","5","numeric","dist",NA,116
38,NA,"Man",NA,"1","Forward","No",550,350,"2",NA,0.961961301671064,-0.0380386983289357,363.84,"cst","2","1","1","3","3","3","numeric","dist",NA,116
39,NA,"Man",NA,"2","Forward","No",400,60,"2",NA,12.2699386503067,11.2699386503067,4.89,"acc","3","2","1","3","2","2","numeric","dist",NA,124
40,NA,"Man",NA,"4","Forward","No",530,30,"2",NA,1.7688679245283,0.768867924528302,16.96,"acc","3","3","1","3","3","2","numeric","dist",NA,124
41,NA,"Man",NA,"5","Forward","No",500,100,"3",NA,1.43905597927759,0.439055979277594,69.49,"cst","4","1","1","3","1","2","numeric","dist",NA,124
42,NA,"Woman",NA,"4","Backward","No",583,500,"2",NA,1.20192307692308,0.201923076923077,416,"dec","4","1","1","2","1","5","numeric","dist",NA,124
43,NA,"Woman",NA,"5","Forward","No",400,10,"3",NA,1.10741971207087,0.107419712070875,9.03,"acc","4","1","2","3","1","2","numeric","dist",NA,124
46,NA,"Woman",NA,"3","Forward","No",540,5,"2",NA,0.912408759124087,-0.0875912408759125,5.48,"acc","1","2","3","2","1","6","numeric","dist",NA,124
47,NA,"Woman",NA,"2","Forward","No",500,200,"2",NA,2.09402156842215,1.09402156842215,95.51,"cst","2","3","2","2","3","5","numeric","dist",NA,116
48,NA,"Woman",NA,"1","Forward","No",450,180,"2",NA,1.78023934328949,0.780239343289487,101.11,"cst","3","2","1","4","2","5","numeric","dist",NA,116
49,NA,"Woman",NA,"6","Backward","No",550,390,"3",NA,1.14871432358399,0.148714323583989,339.51,"cst","2","4","1","3","3","2","numeric","dist",NA,116
50,NA,"Man",NA,"5","Forward","No",470,350,"3",NA,0.928480475382003,-0.0715195246179966,376.96,"cst","3","1","1","2","2","5","numeric","dist",NA,116
51,NA,"Man",NA,"2","Backward","Yes",500,200,"3",NA,0.882223202470225,-0.117776797529775,226.7,"cst","4","3","1","2","1","2","numeric","dist",NA,116
52,NA,"Woman",NA,"4","Backward","Yes",480,250,"3",NA,1.4951258895999,0.495125889599904,167.21,"cst","4","3","1","3","1","1","numeric","dist",NA,116
53,NA,"Man",NA,"2","Backward","Yes",500,320,"2",NA,0.991233776290927,-0.00876622370907284,322.83,"cst","3","2","1","1","2","2","numeric","dist",NA,116
55,NA,"Man",NA,"3","Backward","No",300,100,"3",NA,1.32082948091401,0.320829480914014,75.71,"cst","3","3","1","3","1","5","numeric","dist",NA,124
