"participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur"
20,NA,NA,NA,"3","Backward","Yes",116,75,"3","2",1.01925254813137,0.0192525481313694,73.5833333333334,"cst","3","2","1","3","1","2","numeric","dur",NA,116
21,NA,"Man",NA,"3","Forward","No",120,105,"3","3",1.1502647434727,0.150264743472703,91.2833333333334,"cst","3","2","1","2","1","2","numeric","dur",NA,124
22,NA,NA,NA,"5","Forward","No",240,60,"4","2",1.15792859440334,0.157928594403344,51.8166666666667,"cst","3","2","1","3","2","6","numeric","dur",NA,116
23,NA,NA,NA,"1","Backward","Yes",120,75,"3","2",1.21819166215484,0.218191662154845,61.5666666666667,"cst","4","2","1","4","2","2","numeric","dur",NA,116
24,NA,NA,NA,"1","Backward","Yes",120,60,"3","2",0.974553329723876,-0.0254466702761239,61.5666666666667,"cst","3","3","1","3","2","2","numeric","dur",NA,116
25,NA,NA,NA,"6","Forward","Yes",118,80,"3","3",1.05820105820106,0.0582010582010569,75.6000000000001,"cst","4",NA,"1",NA,"1","1","numeric","dur",NA,116
27,NA,NA,NA,"3","Forward","Yes",120,96,"3","2",1.00313479623824,0.00313479623824448,95.7,"dec","4","3","1","3","1","4","numeric","dur",NA,116
28,NA,"Woman",NA,"3","Backward","Yes",117,75,"4","3",0.978260869565217,-0.021739130434783,76.6666666666667,"cst","1","1","1","2","4","4","numeric","dur",NA,116
29,NA,NA,NA,"6","Forward","Yes",120,40,"3","3",1.20180270405608,0.201802704056078,33.2833333333335,"cst","2","3","1","1","3","2","numeric","dur",NA,124
30,NA,NA,NA,"5","Forward","Yes",129,30,"4","2",1.02739726027397,0.0273972602739726,29.2,"cst","3","2","1","4","3","5","numeric","dur",NA,116
31,NA,NA,NA,"5","Forward","Yes",110,30,"2","2",1.02739726027397,0.0273972602739726,29.2,"cst","3","1","1","4","1","1","numeric","dur",NA,116
32,NA,NA,NA,"2","Backward","Yes",120,63,"4","2",1.06120157215048,0.0612015721504766,59.3666666666667,"cst","2","1","1","3","2","2","numeric","dur",NA,116
33,NA,NA,NA,"6","Backward","Yes",116,70,"3","3",0.983606557377049,-0.0163934426229513,71.1666666666667,"cst","3","2","1","3","1","2","numeric","dur",NA,116
34,NA,NA,NA,"6","Forward","Yes",116,60,"3","2",0.7482851797963,-0.2517148202037,80.1833333333333,"cst","2","2","1","3","1","1","numeric","dur",NA,116
35,NA,NA,NA,"2","Forward","Yes",120,105,"2","2",0.902578796561607,-0.0974212034383928,116.333333333333,"dec","3","2","1","3","1","6","numeric","dur",NA,116
36,NA,NA,NA,"4","Forward","Yes",116,84,"3","3",0.999603332011106,-0.000396667988894119,84.0333333333334,"cst","2","2","1","3","3","5","numeric","dur",NA,116
38,NA,"Man",NA,"1","Forward","Yes",116,80,"3","2",0.906858114490837,-0.0931418855091634,88.2166666666667,"cst","2","1","1","3","3","2","numeric","dur",NA,116
39,NA,"Man",NA,"2","Forward","Yes",124,10,"1","1",1.44578313253013,0.445783132530128,6.91666666666663,"acc","3","2","1","3","2","2","numeric","dur",NA,124
40,NA,"Man",NA,"4","Forward","Yes",116,15,"3","2",1.14942528735631,0.149425287356313,13.0500000000001,"acc","3","3","1","3","3","4","numeric","dur",NA,124
41,NA,"Man",NA,"5","Forward","Yes",120,30,"3","2",1.03211009174312,0.0321100917431181,29.0666666666667,"cst","4","1","1","3","1","2","numeric","dur",NA,124
42,NA,"Woman",NA,"4","Backward","Yes",124,118,"3","2",1.04347826086957,0.0434782608695683,113.083333333333,"dec","4","1","1","2","1","4","numeric","dur",NA,124
