"","participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur","ME","RME","ERM"
"191",220,22,"Woman","Right-handed",3,"Forward","Yes",116,8.05555555555556,3,3,0.770866560340237,-0.229133439659763,10.4500000000001,"acc",4,3,3,2,2,2,"graphic","dur",NA,116,11.5277777777778,1.10313662945241,0.103136629452408
"192",221,34,"Woman","Right-handed",4,"Forward","Yes",115,16.2916666666667,2,1,0.798611111111111,-0.201388888888889,20.4,"cst",4,3,2,2,4,3,"graphic","dur",NA,116,18.1458333333333,0.889501633986928,-0.110498366013072
"194",223,37,"Man","Right-handed",2,"Backward","Yes",116,108.911111111111,4,2,1.03200673826069,0.0320067382606897,105.533333333333,"dec",3,3,2,3,1,4,"graphic","dur",NA,116,104.455555555555,0.989787323647087,-0.0102126763529133
"195",224,26,"Woman","Right-handed",2,"Backward","Yes",122,97.2611111111111,3,3,0.998574036048368,-0.00142596395163229,97.4000000000001,"dec",3,3,3,2,1,5,"graphic","dur",NA,116,98.6305555555556,1.01263404061145,0.0126340406114523
"196",225,37,"Woman","Left-handed",5,"Forward","Yes",120,29.6666666666667,3,2,1.27415891195418,0.274158911954184,23.2833333333334,"cst",3,2,2,3,2,1,"graphic","dur",NA,116,29.8333333333333,1.28131710808875,0.281317108088758
"197",226,21,"Man","Right-handed",1,"Backward","Yes",120,70.3333333333333,3,2,0.830055074744295,-0.169944925255705,84.7333333333334,"cst",4,1,1,3,1,2,"graphic","dur",NA,116,70.1666666666667,0.828088119590872,-0.171911880409127
"198",227,33,"Woman","Left-handed",6,"Backward","Yes",130,104,3,2,1.06776180698152,0.0677618069815184,97.4000000000001,"dec",3,3,1,3,2,5,"graphic","dur",NA,116,102,1.04722792607803,0.0472279260780277
"199",229,46,"Man","Right-handed",3,"Forward","Yes",116,8.37777777777778,2,3,0.60199600798403,-0.39800399201597,13.9166666666667,"acc",3,2,1,3,1,5,"graphic","dur",NA,116,11.6888888888889,0.839920159680635,-0.160079840319364
"200",231,35,"Woman","Right-handed",6,"Forward","No",120,26,3,2,0.8133472367049,-0.1866527632951,31.9666666666667,"cst",2,3,1,2,1,4,"graphic","dur",NA,116,25.5,0.797705943691345,-0.202294056308655
"201",232,22,"Man","Left-handed",2,"Backward","Yes",117,42.25,3,2,0.960591133004927,-0.0394088669950731,43.9833333333333,"cst",3,1,1,2,1,2,"graphic","dur",NA,116,41.125,0.93501326259947,-0.0649867374005298
"202",233,36,"Man","Left-handed",5,"Backward","No",115,57.5,4,3,0.993663594470045,-0.00633640552995453,57.8666666666667,"cst",2,3,1,3,1,4,"graphic","dur",NA,116,58.75,1.01526497695852,0.0152649769585247
"203",234,35,"Woman","Right-handed",3,"Backward","No",120,60.3333333333333,3,3,0.891186607582472,-0.108813392417528,67.7,"cst",3,3,3,3,1,1,"graphic","dur",NA,116,60.1666666666667,0.888724766125061,-0.111275233874938
"204",235,24,"Woman","Left-handed",1,"Backward","Yes",129,83.85,3,3,1.07431133888533,0.0743113388853301,78.05,"cst",3,3,1,3,2,2,"graphic","dur",NA,116,81.925,1.04964766175529,0.0496476617552852
"205",236,30,"Man","Right-handed",3,"Backward","Yes",117,49.725,3,2,0.579320388349515,-0.420679611650485,85.8333333333333,"cst",2,1,2,3,1,2,"graphic","dur",NA,116,49.8625,0.580922330097088,-0.419077669902913
"206",238,40,"Man","Left-handed",4,"Forward","Yes",120,76.6666666666667,3,2,0.723953415171545,-0.276046584828455,105.9,"dec",3,3,1,4,1,4,"graphic","dur",NA,116,83.3333333333333,0.786905886056028,-0.213094113943972
