"","participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur","ME","RME","ERM"
"2331",269,27,"Woman","Left-handed",1,"Forward","No",450,341.129032258065,3,NA,1.18901719155826,0.189017191558259,286.9,"cst",2,1,1,4,3,5,"graphic","dist",NA,124,320.564516129033,1.11733885022318,0.117338850223187
"2341",270,66,"Man","Right-handed",6,"Backward","No",500,NA,3,NA,NA,NA,357.38,"cst",NA,1,3,3,3,5,"graphic","dist",NA,124,450,1.25916391516033,0.259163915160334
"2351",271,46,"Man","Left-handed",5,"Forward","Yes",480,61.9354838709677,2,NA,1.80622583467389,0.806225834673892,34.29,"acc",2,2,1,3,1,2,"graphic","dist",NA,124,70.9677419354838,2.06963376889717,1.06963376889717
"2361",272,56,"Woman","Right-handed",2,"Forward","Yes",500,36.2903225806452,3,NA,3.2258064516129,2.2258064516129,11.25,"acc",4,NA,2,2,1,5,"graphic","dist",NA,124,20.1451612903226,1.79068100358423,0.790681003584228
"2371",273,49,"Woman","Left-handed",4,"Backward","No",500,NA,3,NA,NA,NA,207.76,"cst",3,2,1,3,2,5,"graphic","dist",NA,124,270,1.29957643434732,0.299576434347324
"2381",274,24,"Woman","Right-handed",6,"Forward","No",300,232.258064516129,2,NA,1.01065255870558,0.0106525587055786,229.81,"cst",2,3,2,2,3,2,"graphic","dist",NA,124,241.129032258065,1.0492538717117,0.0492538717116945
"2391",276,21,"Man","Left-handed",1,"Backward","No",300,222.58064516129,2,NA,0.709262141231567,-0.290737858768433,313.82,"cst",3,1,1,3,3,5,"graphic","dist",NA,124,236.290322580645,0.752948577466845,-0.247051422533155
"2401",278,35,"Man","Right-handed",6,"Backward","No",450,43.5483870967742,3,NA,3.87096774193548,2.87096774193548,11.25,"acc",2,2,1,3,1,5,"graphic","dist",NA,124,27.7741935483871,2.46881720430108,1.46881720430107
"2411",279,21,"Man","Right-handed",5,"Forward","No",400,32.258064516129,2,NA,0.940742622225985,-0.0592573777740148,34.29,"acc",3,2,1,3,1,1,"graphic","dist",NA,124,41.1290322580645,1.19944684333813,0.199446843338131
"2421",280,32,"Man","Right-handed",1,"Forward","No",350,220.161290322581,3,NA,0.968167503617329,-0.0318324963826709,227.4,"cst",3,1,1,1,1,3,"graphic","dist",NA,124,210.080645161291,0.923837489715436,-0.0761625102845634
"2431",281,60,"Man","Right-handed",2,"Forward","Yes",450,254.032258064516,3,NA,1.0017044876361,0.00170448763610452,253.6,"cst",3,3,1,3,1,5,"graphic","dist",NA,124,257.016129032258,1.01347054034802,0.0134705403480207
"2441",282,39,"Man","Right-handed",3,"Forward","Yes",500,403.225806451613,3,NA,1.41806156656097,0.418061566560974,284.35,"cst",3,2,1,3,2,5,"graphic","dist",NA,124,376.612903225806,1.32446950316795,0.324469503167949
"2451",283,66,"Man","Right-handed",4,"Forward","Yes",500,213.709677419355,3,NA,0.658256876176168,-0.341743123823832,324.66,"cst",3,3,1,3,1,2,"graphic","dist",NA,124,226.854838709677,0.698745884031532,-0.301254115968468
"2461",284,50,"Man","Right-handed",4,"Forward","Yes",525,448.790322580645,3,NA,1.29059159884007,0.290591598840068,347.74,"cst",3,2,2,3,2,5,"graphic","dist",NA,124,461.895161290323,1.32827733735067,0.328277337350672
"2471",285,24,"Woman","Right-handed",6,"Backward","No",300,237.096774193548,3,NA,0.681821976745696,-0.318178023254304,347.74,"cst",3,3,1,3,1,5,"graphic","dist",NA,124,243.548387096774,0.700374955704762,-0.299625044295238
"1102",1,NA,NA,NA,1,"Backward",NA,295,147.5,3,NA,0.493311036789298,-0.506688963210702,299,"cst",2,3,1,4,1,2,"graphic","spd_inst",NA,124,133.75,0.447324414715719,-0.552675585284281
"312",4,NA,NA,NA,6,"Backward",NA,365,101.388888888889,3,NA,0.87404214559387,-0.12595785440613,116,"acc",2,3,1,3,2,2,"graphic","spd_inst",NA,116,88.1944444444445,0.760296934865901,-0.2397030651341
"412",5,NA,NA,NA,5,NA,NA,320,227.555555555556,2,NA,1.03434343434343,0.0343434343434344,220,"acc",4,1,1,3,1,2,"graphic","spd_inst",NA,116,258.777777777778,1.17626262626262,0.176262626262626
"612",7,NA,NA,NA,1,"Forward",NA,200,NA,1,NA,NA,NA,268,"cst",3,1,1,3,1,2,"graphic","spd_inst",NA,116,130,0.485074626865672,-0.514925373134328
"712",8,NA,NA,NA,2,"Forward",NA,300,NA,3,NA,NA,NA,285,"cst",2,3,2,3,3,5,"graphic","spd_inst",NA,116,200,0.701754385964912,-0.298245614035088
"812",9,NA,NA,NA,4,"Forward",NA,200,162.222222222222,3,NA,0.675925925925926,-0.324074074074074,240,"cst",3,2,1,4,1,2,"graphic","spd_inst",NA,116,181.111111111111,0.75462962962963,-0.245370370370371
"911",10,NA,NA,NA,6,"Forward",NA,300,195,2,NA,0.65,-0.35,300,"cst",3,1,1,3,1,5,"graphic","spd_inst",NA,116,247.5,0.825,-0.175
"1010",11,NA,NA,NA,1,"Backward",NA,300,191.666666666667,2,NA,0.717852684144819,-0.282147315855181,267,"cst",2,2,2,2,2,2,"graphic","spd_inst",NA,116,195.833333333333,0.733458177278402,-0.266541822721598
"1112",12,NA,NA,NA,3,"Forward",NA,140,NA,2,NA,NA,NA,260,"cst",NA,NA,NA,NA,NA,6,"graphic","spd_inst",NA,116,140,0.538461538461538,-0.461538461538462
"1212",13,NA,NA,NA,2,"Forward",NA,490,NA,3,NA,NA,NA,275,"cst",2,2,2,3,2,2,"graphic","spd_inst",NA,116,300,1.09090909090909,0.0909090909090909
"1311",14,NA,NA,NA,4,"Backward",NA,200,180,3,NA,0.642857142857143,-0.357142857142857,280,"cst",3,3,1,2,1,2,"graphic","spd_inst",NA,116,185,0.660714285714286,-0.339285714285714
"1410",15,NA,NA,NA,6,"Backward",NA,300,291.666666666667,2,NA,1.0233918128655,0.0233918128654971,285,"cst",2,2,2,2,1,5,"graphic","spd_inst",NA,116,295.833333333333,1.03801169590643,0.0380116959064327
"1510",17,NA,NA,NA,3,"Forward",NA,250,90.2777777777778,3,NA,1.2037037037037,0.203703703703704,75,"acc",4,1,1,2,2,2,"graphic","spd_inst",NA,124,95.1388888888889,1.26851851851852,0.268518518518518
"1610",18,NA,NA,NA,1,"Backward",NA,250,188.888888888889,3,NA,0.64030131826742,-0.35969868173258,295,"cst",3,3,1,3,1,6,"graphic","spd_inst",NA,116,209.444444444445,0.709981167608287,-0.290018832391713
"1711",19,NA,NA,NA,1,"Forward",NA,200,157.777777777778,2,NA,0.534839924670433,-0.465160075329567,295,"cst",3,3,2,3,2,6,"graphic","spd_inst",NA,116,153.888888888889,0.521657250470809,-0.478342749529191
"1812",20,NA,NA,NA,3,"Backward",NA,300,198.333333333333,2,NA,0.881481481481481,-0.118518518518519,225,"cst",3,2,1,3,1,2,"graphic","spd_inst",NA,116,174.166666666667,0.774074074074074,-0.225925925925926
"1912",21,NA,"Man",NA,3,"Forward",NA,230,159.722222222222,2,NA,1.14908073541167,0.149080735411671,139,"dec",3,2,1,2,1,2,"graphic","spd_inst",NA,124,189.861111111111,1.36590727418066,0.365907274180655
"2010",22,NA,NA,NA,5,"Forward",NA,320,NA,3,NA,NA,NA,295,"cst",3,2,1,3,2,6,"graphic","spd_inst",NA,116,250,0.847457627118644,-0.152542372881356
"2112",23,NA,NA,NA,1,"Backward",NA,170,163.388888888889,4,NA,0.759948320413437,-0.240051679586563,215,"cst",4,2,1,4,2,2,"graphic","spd_inst",NA,116,166.694444444445,0.775322997416021,-0.224677002583979
"2212",24,NA,NA,NA,1,"Backward",NA,270,196.5,3,NA,0.913953488372093,-0.086046511627907,215,"cst",3,3,1,3,2,5,"graphic","spd_inst",NA,116,235.75,1.09651162790698,0.0965116279069765
"2312",25,NA,NA,NA,6,"Forward",NA,NA,NA,2,NA,NA,NA,260,"cst",4,NA,1,NA,1,1,"graphic","spd_inst",NA,116,300,1.15384615384615,0.153846153846154
"249",27,NA,NA,NA,3,"Forward",NA,300,111.666666666667,2,NA,0.572649572649573,-0.427350427350427,195,"dec",4,3,1,3,1,2,"graphic","spd_inst",NA,116,105.833333333333,0.542735042735043,-0.457264957264957
"252",28,NA,"Woman",NA,3,"Backward",NA,350,NA,1,NA,NA,NA,260,"cst",1,1,1,2,4,1,"graphic","spd_inst",NA,116,300,1.15384615384615,0.153846153846154
"262",29,NA,NA,NA,6,"Forward",NA,320,289.777777777778,2,NA,1.1363834422658,0.136383442265795,255,"cst",2,3,1,1,3,2,"graphic","spd_inst",NA,124,294.888888888889,1.15642701525054,0.156427015250544
"272",30,NA,NA,NA,5,"Forward",NA,360,312,3,NA,1.06122448979592,0.0612244897959184,294,"cst",3,2,1,4,3,2,"graphic","spd_inst",NA,116,293.5,0.998299319727892,-0.00170068027210885
"292",32,NA,NA,NA,2,"Backward",NA,305,NA,3,NA,NA,NA,265,"cst",2,1,1,3,2,2,"graphic","spd_inst",NA,116,230,0.867924528301887,-0.132075471698113
"302",33,NA,NA,NA,6,"Backward",NA,320,264.888888888889,3,NA,1.12718676122931,0.127186761229314,235,"cst",3,2,1,3,1,2,"graphic","spd_inst",NA,116,282.444444444445,1.20189125295508,0.201891252955083
"313",34,NA,NA,NA,6,"Forward",NA,300,178.333333333333,2,NA,0.672955974842767,-0.327044025157233,265,"cst",2,2,1,3,1,2,"graphic","spd_inst",NA,116,179.166666666667,0.676100628930818,-0.323899371069183
"322",35,NA,NA,NA,2,"Forward",NA,NA,NA,1,NA,NA,NA,299,"cst",3,2,1,3,1,6,"graphic","spd_inst",NA,116,150,0.501672240802676,-0.498327759197324
"332",36,NA,NA,NA,4,"Forward",NA,NA,NA,1,NA,NA,NA,250,"cst",2,2,1,3,3,1,"graphic","spd_inst",NA,116,250,1,0
"342",38,NA,"Man",NA,1,"Forward",NA,280,197.555555555556,3,NA,0.75982905982906,-0.24017094017094,260,"cst",2,1,1,3,3,2,"graphic","spd_inst",NA,116,208.777777777778,0.802991452991453,-0.197008547008547
"351",39,NA,"Man",NA,2,"Forward",NA,300,NA,3,NA,NA,NA,38,"acc",3,2,1,3,2,2,"graphic","spd_inst",NA,124,45,1.18421052631579,0.184210526315789
"362",40,NA,"Man",NA,4,"Forward",NA,340,170,2,NA,1.40495867768595,0.40495867768595,121,"acc",3,3,1,3,3,2,"graphic","spd_inst",NA,124,160,1.32231404958678,0.322314049586777
"372",41,NA,"Man",NA,5,"Forward",NA,300,NA,3,NA,NA,NA,245,"cst",4,1,1,3,1,2,"graphic","spd_inst",NA,124,270,1.10204081632653,0.102040816326531
"392",43,NA,"Woman",NA,5,"Forward",NA,250,58.3333333333333,3,NA,0.729166666666667,-0.270833333333333,80,"acc",4,1,2,3,1,2,"graphic","spd_inst",NA,124,59.1666666666667,0.739583333333333,-0.260416666666667
"402",46,NA,"Woman",NA,3,"Forward",NA,300,73.3333333333333,2,NA,1.12820512820513,0.128205128205128,65,"acc",1,2,3,2,1,3,"graphic","spd_inst",NA,124,61.6666666666667,0.94871794871795,-0.0512820512820515
"413",47,NA,"Woman",NA,2,"Forward",NA,250,161.111111111111,3,NA,0.540641312453393,-0.459358687546607,298,"cst",2,3,2,2,3,5,"graphic","spd_inst",NA,116,205.555555555555,0.689783743475018,-0.310216256524982
"422",48,NA,"Woman",NA,1,"Forward",NA,350,231.388888888889,3,NA,0.784369114877589,-0.215630885122411,295,"cst",3,2,1,4,2,5,"graphic","spd_inst",NA,116,235.694444444445,0.798964218455744,-0.201035781544256
"432",49,NA,"Woman",NA,6,"Backward",NA,300,241.666666666667,3,NA,0.905118601747815,-0.0948813982521847,267,"cst",2,4,1,3,3,5,"graphic","spd_inst",NA,116,245.833333333333,0.920724094881398,-0.0792759051186017
"442",50,NA,"Man",NA,5,"Forward",NA,320,257.777777777778,4,NA,0.888888888888889,-0.111111111111111,290,"dec",3,1,1,2,2,5,"graphic","spd_inst",NA,116,258.888888888889,0.89272030651341,-0.10727969348659
"452",51,NA,"Man",NA,2,"Backward",NA,318,291.5,4,NA,0.988135593220339,-0.011864406779661,295,"cst",4,3,1,2,1,3,"graphic","spd_inst",NA,116,294.75,0.99915254237288,-0.00084745762711865
"462",52,NA,"Woman",NA,4,"Backward",NA,270,247.5,3,NA,0.853448275862069,-0.146551724137931,290,"cst",4,3,1,3,1,1,"graphic","spd_inst",NA,116,258.75,0.892241379310345,-0.107758620689655
"472",53,NA,"Man",NA,2,"Backward",NA,420,NA,3,NA,NA,NA,260,"cst",3,2,1,1,2,2,"graphic","spd_inst",NA,116,380,1.46153846153846,0.461538461538462
"482",55,NA,"Man",NA,3,"Backward",NA,300,226.666666666667,3,NA,0.875160875160875,-0.124839124839125,259,"cst",3,3,1,3,1,4,"graphic","spd_inst",NA,124,260.833333333333,1.00707850707851,0.007078507078507
"502",57,NA,"Woman",NA,5,"Forward",NA,300,243.333333333333,2,NA,1.52083333333333,0.520833333333333,160,"dec",3,1,1,3,1,3,"graphic","spd_inst",NA,124,246.666666666667,1.54166666666666,0.541666666666667
"512",58,NA,"Woman",NA,1,"Backward",NA,298,NA,2,NA,NA,NA,140,"dec",3,3,1,4,1,1,"graphic","spd_inst",NA,124,260,1.85714285714286,0.857142857142857
"522",59,NA,"Woman",NA,5,"Backward",NA,360,320,3,NA,1.21673003802281,0.216730038022814,263,"cst",3,2,1,2,1,3,"graphic","spd_inst",NA,116,340,1.29277566539924,0.292775665399239
"532",60,NA,"Woman",NA,2,"Forward",NA,350,70,2,NA,1.09375,0.09375,64,"acc",2,2,1,3,1,2,"graphic","spd_inst",NA,124,55,0.859375,-0.140625
"542",61,NA,"Man",NA,3,"Backward",NA,300,245,2,NA,0.890909090909091,-0.109090909090909,275,"cst",3,2,1,3,2,2,"graphic","spd_inst",NA,116,247.5,0.9,-0.1
"552",62,NA,"Man",NA,5,"Forward",NA,330,216.333333333333,2,NA,0.75906432748538,-0.24093567251462,285,"cst",4,1,1,2,1,1,"graphic","spd_inst",NA,116,233.166666666667,0.81812865497076,-0.18187134502924
"562",63,NA,"Woman",NA,6,"Backward",NA,250,198.611111111111,1,NA,0.684865900383142,-0.315134099616858,290,"cst",3,2,3,1,1,2,"graphic","spd_inst",NA,116,194.305555555555,0.670019157088122,-0.329980842911878
"572",64,NA,"Woman",NA,2,"Forward",NA,300,278.333333333333,3,NA,1.08300907911803,0.0830090791180287,257,"cst",3,1,1,3,1,2,"graphic","spd_inst",NA,116,289.166666666667,1.12516212710766,0.125162127107652
"582",65,NA,"Man",NA,2,"Forward",NA,315,274.75,3,NA,1.04467680608365,0.0446768060836502,263,"cst",3,3,1,3,1,4,"graphic","spd_inst",NA,116,287.375,1.09268060836502,0.0926806083650191
"592",66,NA,"Woman",NA,6,"Backward",NA,300,178.333333333333,2,NA,0.685897435897436,-0.314102564102564,260,"cst",4,2,3,2,1,2,"graphic","spd_inst",NA,116,179.166666666667,0.689102564102564,-0.310897435897436
"601",67,NA,"Woman",NA,1,"Forward",NA,250,80.5555555555556,1,NA,1.46464646464646,0.464646464646465,55,"acc",3,2,1,4,1,1,"graphic","spd_inst",NA,124,80.2777777777778,1.45959595959595,0.45959595959596
"613",69,NA,"Man",NA,4,"Forward",NA,320,252.444444444444,3,NA,0.959864807773553,-0.040135192226447,263,"cst",4,2,1,3,1,5,"graphic","spd_inst",NA,124,251.222222222222,0.955217574989438,-0.0447824250105619
"622",70,NA,"Woman",NA,3,"Forward",NA,392,280.933333333333,1,NA,1.02530413625304,0.0253041362530414,274,"cst",4,2,1,4,1,5,"graphic","spd_inst",NA,124,265.466666666666,0.968856447688564,-0.0311435523114355
"632",71,NA,"Woman",NA,4,"Backward",NA,280,238,2,NA,0.915384615384615,-0.0846153846153846,260,"cst",4,1,1,3,1,5,"graphic","spd_inst",NA,116,244,0.938461538461538,-0.0615384615384616
"642",72,NA,"Woman",NA,1,"Forward",NA,250,175,1,NA,1.2962962962963,0.296296296296296,135,"acc",3,2,1,3,1,2,"graphic","spd_inst",NA,116,187.5,1.38888888888889,0.388888888888889
"662",74,NA,"Man",NA,4,"Forward",NA,300,131.666666666667,2,NA,0.446327683615819,-0.553672316384181,295,"cst",4,3,1,2,2,5,"graphic","spd_inst",NA,116,165.833333333333,0.562146892655367,-0.437853107344633
"672",75,NA,"Man",NA,6,"Forward",NA,300,228.333333333333,2,NA,0.774011299435028,-0.225988700564972,295,"cst",4,2,1,2,1,3,"graphic","spd_inst",NA,116,239.166666666667,0.810734463276836,-0.189265536723164
"682",76,NA,"Woman",NA,5,"Backward",NA,260,235.444444444444,2,NA,0.782207456626061,-0.217792543373939,301,"cst",3,2,1,3,3,4,"graphic","spd_inst",NA,116,232.722222222222,0.773163528977483,-0.226836471022517
"692",77,NA,"Man",NA,3,"Backward",NA,300,NA,2,NA,NA,NA,261,"cst",3,NA,1,3,3,5,"graphic","spd_inst",NA,116,300,1.14942528735632,0.149425287356322
"702",78,NA,"Woman",NA,6,"Backward",NA,300,NA,1,NA,NA,NA,260,"cst",3,2,1,4,1,5,"graphic","spd_inst",NA,116,200,0.769230769230769,-0.230769230769231
"713",79,NA,"Woman",NA,1,"Forward",NA,250,163.888888888889,1,NA,0.618448637316562,-0.381551362683438,265,"cst",2,1,2,3,3,1,"graphic","spd_inst",NA,116,191.944444444445,0.724318658280922,-0.275681341719077
"722",80,NA,"Man",NA,4,"Backward",NA,300,70,3,NA,1.75,0.75,40,"acc",3,1,1,3,1,4,"graphic","spd_inst",NA,124,65,1.625,0.625
"732",81,NA,"Man",NA,5,"Backward",NA,300,263.333333333333,2,NA,0.886644219977553,-0.113355780022447,297,"cst",2,2,1,3,1,2,"graphic","spd_inst",NA,124,269.166666666667,0.90628507295174,-0.0937149270482606
"752",83,NA,"Woman",NA,2,"Backward",NA,290,215.888888888889,4,NA,0.744444444444444,-0.255555555555556,290,"cst",NA,2,NA,3,3,5,"graphic","spd_inst",NA,124,247.944444444445,0.854980842911877,-0.145019157088123
"762",85,NA,"Man",NA,1,"Backward",NA,250,220.833333333333,NA,NA,0.788690476190476,-0.211309523809524,280,"cst",3,1,1,3,1,5,"graphic","spd_inst",NA,124,235.416666666667,0.84077380952381,-0.15922619047619
"772",86,NA,"Man",NA,2,"Forward",NA,310,251.444444444444,3,NA,0.849474474474475,-0.150525525525525,296,"cst",3,2,1,3,2,5,"graphic","spd_inst",NA,124,275.722222222222,0.931493993993993,-0.0685060060060058
"782",87,NA,"Man",NA,5,"Backward",NA,300,243.333333333333,2,NA,1.00137174211248,0.00137174211248289,243,"cst",4,2,1,3,3,2,"graphic","spd_inst",NA,124,241.666666666667,0.994513031550067,-0.0054869684499314
"792",88,NA,"Man",NA,3,"Forward",NA,350,161.388888888889,3,NA,0.733585858585859,-0.266414141414141,220,"acc",2,2,1,2,3,2,"graphic","spd_inst",NA,116,180.694444444445,0.821338383838384,-0.178661616161616
"802",89,NA,"Man",NA,6,"Forward",NA,320,NA,3,NA,NA,NA,270,"cst",3,4,1,3,2,2,"graphic","spd_inst",NA,116,220,0.814814814814815,-0.185185185185185
"813",90,NA,"Man",NA,6,"Backward",NA,320,204.444444444444,3,NA,0.73015873015873,-0.26984126984127,280,"cst",2,3,1,3,3,2,"graphic","spd_inst",NA,116,252.222222222222,0.90079365079365,-0.0992063492063493
"822",91,NA,"Man",NA,2,"Forward",NA,300,290,2,NA,1.07407407407407,0.0740740740740741,270,"cst",3,2,1,3,2,5,"graphic","spd_inst",NA,116,200,0.740740740740738,-0.259259259259259
"831",92,NA,"Man",NA,5,"Forward",NA,320,257.777777777778,3,NA,0.987654320987654,-0.0123456790123457,261,"cst",2,3,1,3,2,5,"graphic","spd_inst",NA,116,268.888888888889,1.03022562792678,0.0302256279267774
"842",93,NA,"Man",NA,4,"Forward",NA,270,219,2,NA,0.826415094339623,-0.173584905660377,265,"cst",2,1,1,3,2,5,"graphic","spd_inst",NA,116,224.5,0.847169811320755,-0.152830188679245
"852",94,NA,"Man",NA,3,"Forward",NA,398,355.988888888889,2,NA,1.35873621713316,0.358736217133164,262,"cst",3,2,2,3,2,3,"graphic","spd_inst",NA,116,352.994444444445,1.34730703986429,0.347307039864292
"862",95,NA,"Woman",NA,1,"Forward",NA,300,268.333333333333,2,NA,0.941520467836257,-0.0584795321637426,285,"cst",3,3,1,4,1,2,"graphic","spd_inst",NA,116,268.333333333333,0.941520467836257,-0.0584795321637426
"872",96,NA,"Man",NA,6,"Forward",NA,250,153.472222222222,3,NA,1.00968567251462,0.00968567251461992,152,"dec",3,3,1,3,1,2,"graphic","spd_inst",NA,116,166.736111111111,1.0969480994152,0.0969480994152045
"882",97,NA,"Woman",NA,5,"Forward",NA,300,101.666666666667,3,NA,1.56410256410256,0.564102564102564,65,"acc",2,2,1,2,1,2,"graphic","spd_inst",NA,124,100.833333333333,1.55128205128205,0.551282051282051
"891",98,NA,"Woman",NA,3,"Forward",NA,300,195,3,NA,1.14705882352941,0.147058823529412,170,"acc",4,NA,1,3,1,5,"graphic","spd_inst",NA,124,197.5,1.16176470588235,0.161764705882353
"902",99,NA,"Woman",NA,2,"Forward",NA,300,270,3,NA,0.915254237288136,-0.0847457627118644,295,"acc",3,3,1,3,1,4,"graphic","spd_inst",NA,124,260,0.88135593220339,-0.11864406779661
"912",100,NA,"Man",NA,1,"Forward",NA,300,291.666666666667,3,NA,1.12179487179487,0.121794871794872,260,"cst",4,1,1,4,1,6,"graphic","spd_inst",NA,124,295.833333333333,1.13782051282051,0.137820512820513
"922",101,NA,"Man",NA,4,"Forward",NA,300,NA,2,NA,NA,NA,265,"cst",3,3,1,2,2,5,"graphic","spd_inst",NA,124,280,1.05660377358491,0.0566037735849057
"932",102,NA,"Man",NA,2,"Backward",NA,305,196.555555555556,4,NA,0.741719077568134,-0.258280922431866,265,"cst",2,2,3,2,3,2,"graphic","spd_inst",NA,124,228.277777777778,0.861425576519916,-0.138574423480084
"942",104,NA,"Woman",NA,5,"Backward",NA,350,NA,2,NA,NA,NA,251,"cst",3,2,2,3,2,6,"graphic","spd_inst",NA,124,300,1.19521912350598,0.195219123505976
"952",105,NA,"Man",NA,4,"Forward",NA,315,281.75,3,NA,0.971551724137931,-0.028448275862069,290,"cst",3,3,1,3,2,2,"graphic","spd_inst",NA,124,293.375,1.01163793103448,0.0116379310344828
"961",106,26,"Woman","Left-handed",6,"Backward",NA,110,38.5,1,NA,0.26551724137931,-0.73448275862069,145,"acc",3,2,1,3,2,2,"graphic","spd_inst",NA,116,94.25,0.65,-0.35
"971",110,22,"Woman","Right-handed",3,"Forward",NA,300,150,2,NA,0.6,-0.4,250,"acc",3,1,2,3,1,2,"graphic","spd_inst",NA,116,150,0.6,-0.4
"982",111,23,"Woman","Left-handed",5,"Forward",NA,250,170.833333333333,2,NA,0.587056128293242,-0.412943871706758,291,"cst",3,3,2,2,3,2,"graphic","spd_inst",NA,116,182.916666666667,0.628579610538374,-0.371420389461626
"992",112,22,"Man","Left-handed",4,"Backward",NA,270,NA,3,NA,NA,NA,245,"cst",2,3,1,3,2,5,"graphic","spd_inst",NA,116,150,0.612244897959184,-0.387755102040816
"1002",113,31,"Man","Right-handed",1,"Backward",NA,240,214.666666666667,3,NA,0.835278858625162,-0.164721141374838,257,"cst",2,1,1,3,1,5,"graphic","spd_inst",NA,116,212.333333333333,0.826199740596627,-0.173800259403373
"1012",114,31,"Man","Right-handed",1,"Backward",NA,240,214.666666666667,3,NA,0.835278858625162,-0.164721141374838,257,"cst",2,1,1,3,1,5,"graphic","spd_inst",NA,116,212.333333333333,0.826199740596627,-0.173800259403373
"1022",115,32,"Man","Right-handed",3,"Backward",NA,300,NA,2,NA,NA,NA,240,"cst",3,4,1,3,1,1,"graphic","spd_inst",NA,116,150,0.625,-0.375
"1032",116,30,"Man","Right-handed",4,"Forward",NA,350,225.555555555556,3,NA,0.864197530864198,-0.135802469135802,261,"cst",3,1,1,4,1,1,"graphic","spd_inst",NA,116,262.777777777778,1.00681140911026,0.00681140911026
"1042",117,NA,NA,NA,2,"Forward",NA,300,193.333333333333,1,NA,0.752269779507134,-0.247730220492866,257,"cst",3,3,3,1,1,2,"graphic","spd_inst",NA,116,196.666666666667,0.765239948119326,-0.234760051880674
"1052",118,24,"Woman","Right-handed",5,"Forward",NA,300,NA,3,NA,NA,NA,260,"cst",2,2,1,3,2,5,"graphic","spd_inst",NA,116,270,1.03846153846154,0.0384615384615385
"1072",120,NA,"Man","Right-handed",2,"Forward",NA,350,305.277777777778,4,NA,1.09027777777778,0.0902777777777777,280,"cst",4,3,1,4,1,5,"graphic","spd_inst",NA,124,302.638888888889,1.08085317460317,0.0808531746031746
"1082",121,29,"Woman","Right-handed",1,"Backward",NA,320,263.111111111111,3,NA,0.956767676767677,-0.0432323232323233,275,"cst",3,3,1,2,1,5,"graphic","spd_inst",NA,124,281.555555555555,1.02383838383838,0.0238383838383838
"1092",122,53,"Woman","Left-handed",4,"Backward",NA,300,286.666666666667,2,NA,1.08176100628931,0.0817610062893082,265,"cst",4,1,1,3,1,2,"graphic","spd_inst",NA,124,293.333333333333,1.10691823899371,0.106918238993711
"1103",123,61,"Woman","Right-handed",6,"Forward",NA,300,NA,3,NA,NA,NA,288,"cst",2,3,2,2,1,5,"graphic","spd_inst",NA,124,300,1.04166666666667,0.0416666666666667
"1113",124,43,"Woman","Right-handed",5,"Forward",NA,310,242.833333333333,3,NA,0.852046783625731,-0.147953216374269,285,"cst",3,1,1,3,1,2,"graphic","spd_inst",NA,124,276.416666666667,0.969883040935671,-0.0301169590643275
"1132",126,58,"Man","Right-handed",5,"Backward",NA,300,105,2,NA,0.75,-0.25,140,"dec",2,3,1,NA,1,6,"graphic","spd_inst",NA,124,127.5,0.910714285714285,-0.0892857142857143
"1142",127,52,"Woman","Right-handed",3,"Forward",NA,200,297.777777777778,2,NA,1.12368972746331,0.123689727463312,265,"acc",4,1,4,1,4,1,"graphic","spd_inst",NA,116,248.888888888889,0.939203354297693,-0.0607966457023065
"1152",128,31,"Man","Right-handed",1,"Forward",NA,350,227.5,3,NA,0.771186440677966,-0.228813559322034,295,"cst",4,3,1,3,1,5,"graphic","spd_inst",NA,116,253.75,0.860169491525424,-0.139830508474576
"1162",129,NA,"Woman","Right-handed",2,"Forward",NA,360,334,2,NA,1.28461538461538,0.284615384615385,260,"cst",3,1,1,2,1,5,"graphic","spd_inst",NA,116,347,1.33461538461538,0.334615384615385
"1172",130,27,"Man","Right-handed",4,"Forward",NA,300,200,3,NA,0.746268656716418,-0.253731343283582,268,"cst",4,1,1,4,1,5,"graphic","spd_inst",NA,116,200,0.746268656716418,-0.253731343283582
"1182",131,38,"Man","Right-handed",6,"Backward",NA,250,236.111111111111,3,NA,0.792319164802386,-0.207680835197614,298,"cst",4,2,1,3,1,3,"graphic","spd_inst",NA,116,243.055555555555,0.815622669649515,-0.184377330350485
"1192",132,37,"Man","Right-handed",3,"Backward",NA,300,226.666666666667,2,NA,0.795321637426901,-0.204678362573099,285,"cst",2,2,1,3,2,5,"graphic","spd_inst",NA,116,238.333333333333,0.83625730994152,-0.163742690058479
"1202",133,21,"Woman","Right-handed",3,"Backward",NA,350,188.611111111111,3,NA,0.739651416122004,-0.260348583877996,255,"cst",3,2,1,3,1,2,"graphic","spd_inst",NA,116,252.805555555555,0.991394335511982,-0.00860566448801749
"1213",134,49,"Man","Right-handed",2,"Backward",NA,300,220,2,NA,0.830188679245283,-0.169811320754717,265,"cst",3,3,1,1,1,5,"graphic","spd_inst",NA,116,235,0.886792452830188,-0.113207547169811
